FID,objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,SHAPE_Length,SHAPE_Area
1,1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,93712619.817559,71011.933949309,122680.152622637,-279789025.365077
2,2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,53881564.2712312,44481.6912420937,76614.7772455582,-159872239.526175
3,3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,245069508.916793,96703.9897012816,166599.72487527,-727451046.364262
4,4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,204932953.781254,123408.985927674,212698.045557805,-608636249.099934
5,5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,197475688.992374,107206.401677303,184666.724021553,-586135297.064361
6,6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,79084035.438117,77771.1033589802,130177.800643685,-221626702.505506
7,7,E06000007,Warrington, ,362744,388456,-2.56167,53.391628,180627983.826566,114690.861715151,192223.072056052,-507478797.366879
8,8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.700802,137022079.723958,65284.970982529,110205.600673853,-390314354.663816
9,9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,34870886.4556485,34483.4874941594,58394.1089557721,-99915960.5964255
10,10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.769199,71583611.6877473,64681.1195108646,109330.219627347,-204543401.303472
11,11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.881119,2404995299.25659,504148.429232301,853447.460987403,-6908736543.1035
12,12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,192622956.447467,93248.719811851,156803.115343909,-544639870.003215
13,13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,846499243.955761,244632.76877319,411830.21383382,-2399300187.47454
14,14,E06000014,York, ,460864,452589,-1.07375,53.96582,271936983.742979,101957.593922067,173173.220990551,-784427202.370856
15,15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,78031124.2977332,50037.7355262229,82927.8749618392,-214340584.595649
16,16,E06000016,Leicester, ,458946,304594,-1.1304,52.635921,73342074.1900811,51932.0033485063,85527.9950028272,-198939349.022689
17,17,E06000017,Rutland, ,492992,308655,-0.6263,52.667648,393748908.230216,125885.233889954,207366.345442911,-1069019596.47315
18,18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,74613560.4819936,58724.2365259449,97429.7549015491,-205395781.261233
19,19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.081539,2179709442.25922,349889.439797712,569702.607838593,-5772015203.81964
