Local Authority District code (2019),Local Authority District name (2019),Barriers to Housing and Services - Average rank ,,decile
E06000001,Hartlepool,9407.74,0.1,2
E06000002,Middlesbrough,9341.76,0.1,2
E06000003,Redcar and Cleveland,9611.85,0.1,2
E06000004,Stockton-on-Tees,11053.82,0.1,2
E06000005,Darlington,7041.46,0,1
E06000006,Halton,11677.09,0.1,2
E06000007,Warrington,12659.66,0.2,3
E06000008,Blackburn with Darwen,7292.66,0,1
E06000009,Blackpool,6680.23,0,1
E06000010,"Kingston upon Hull, City of",16632.80,0.5,6
E06000011,East Riding of Yorkshire,14202.17,0.3,4
E06000012,North East Lincolnshire,8431.98,0,1
E06000013,North Lincolnshire,10015.70,0.1,2
E06000014,York,11183.05,0.1,2
E06000015,Derby,15747.45,0.4,5
E06000016,Leicester,11681.60,0.2,3
E06000017,Rutland,16587.75,0.4,5
E06000018,Nottingham,19298.19,0.7,8
E06000019,"Herefordshire, County of",19597.93,0.7,8
E06000020,Telford and Wrekin,15169.87,0.4,5
E06000021,Stoke-on-Trent,10863.12,0.1,2
E06000022,Bath and North East Somerset,11777.70,0.2,3
E06000023,"Bristol, City of",19266.50,0.7,8
E06000024,North Somerset,13627.32,0.2,3
E06000025,South Gloucestershire,14935.42,0.3,4
E06000026,Plymouth,13754.15,0.2,3
E06000027,Torbay,16132.54,0.4,5
E06000030,Swindon,14488.82,0.3,4
E06000031,Peterborough,21809.40,0.8,9
E06000032,Luton,25207.63,0.9,10
E06000033,Southend-on-Sea,13278.73,0.2,3
E06000034,Thurrock,19639.61,0.7,8
E06000035,Medway,14653.81,0.3,4
E06000036,Bracknell Forest,21219.70,0.8,9
E06000037,West Berkshire,15809.39,0.4,5
E06000038,Reading,22569.26,0.8,9
E06000039,Slough,28479.21,0.9,10
E06000040,Windsor and Maidenhead,13976.19,0.3,4
E06000041,Wokingham,17766.01,0.5,6
E06000042,Milton Keynes,24694.55,0.9,10
E06000043,Brighton and Hove,19052.88,0.7,8
E06000044,Portsmouth,16932.78,0.5,6
E06000045,Southampton,15309.49,0.4,5
E06000046,Isle of Wight,13733.00,0.2,3
E06000047,County Durham,9274.15,0,1
E06000049,Cheshire East,13981.41,0.3,4
E06000050,Cheshire West and Chester,11208.81,0.1,2
E06000051,Shropshire,18718.35,0.6,7
E06000052,Cornwall,19195.78,0.7,8
E06000053,Isles of Scilly,16877.00,0.5,6
E06000054,Wiltshire,19001.73,0.7,8
E06000055,Bedford,19576.86,0.7,8
E06000056,Central Bedfordshire,15670.04,0.4,5
E06000057,Northumberland,16010.05,0.4,5
E06000058,"Bournemouth, Christchurch and Poole",16741.63,0.5,6
E06000059,Dorset,19156.56,0.7,8
E07000004,Aylesbury Vale,19842.56,0.7,8
E07000005,Chiltern,17505.76,0.5,6
E07000006,South Bucks,20815.43,0.8,9
E07000007,Wycombe,18695.69,0.6,7
E07000008,Cambridge,18937.34,0.6,7
E07000009,East Cambridgeshire,21695.92,0.8,9
E07000010,Fenland,18582.46,0.6,7
E07000011,Huntingdonshire,18419.29,0.6,7
E07000012,South Cambridgeshire,18836.17,0.6,7
