Local Authority District code (2019),Local Authority District name (2019),"Education, Skills and Training - Average rank ",,Decile
E06000001,Hartlepool,"19,980.79",0.7,8
E06000002,Middlesbrough,"22,111.75",0.8,9
E06000003,Redcar and Cleveland,"18,997.48",0.6,7
E06000004,Stockton-on-Tees,"16,899.44",0.5,6
E06000005,Darlington,"18,401.65",0.6,7
E06000006,Halton,"20,397.50",0.7,8
E06000007,Warrington,"14,286.38",0.3,4
E06000008,Blackburn with Darwen,"22,371.92",0.9,10
E06000009,Blackpool,"24,559.38",0.9,10
E06000010,"Kingston upon Hull, City of","24,831.65",0.9,10
E06000011,East Riding of Yorkshire,"14,590.27",0.3,4
E06000012,North East Lincolnshire,"21,954.17",0.8,9
E06000013,North Lincolnshire,"20,176.24",0.7,8
E06000014,York,"12,532.77",0.2,3
E06000015,Derby,"20,418.97",0.7,8
E06000016,Leicester,"23,631.94",0.9,10
E06000017,Rutland,"8,232.66",0,1
E06000018,Nottingham,"23,807.38",0.9,10
E06000019,"Herefordshire, County of","16,804.13",0.5,6
E06000020,Telford and Wrekin,"19,425.58",0.7,8
E06000021,Stoke-on-Trent,"24,769.81",0.9,10
E06000022,Bath and North East Somerset,"11,553.29",0.2,3
E06000023,"Bristol, City of","18,030.07",0.6,7
E06000024,North Somerset,"14,286.77",0.3,4
E06000025,South Gloucestershire,"15,758.35",0.4,5
E06000026,Plymouth,"19,189.22",0.6,7
E06000027,Torbay,"20,314.64",0.7,8
E06000030,Swindon,"18,371.34",0.6,7
E06000031,Peterborough,"22,221.22",0.9,10
E06000032,Luton,"21,627.92",0.8,9
E06000033,Southend-on-Sea,"19,087.92",0.6,7
E06000034,Thurrock,"22,495.05",0.9,10
E06000035,Medway,"21,197.40",0.8,9
E06000036,Bracknell Forest,"14,902.95",0.4,5
E06000037,West Berkshire,"12,347.83",0.2,3
E06000038,Reading,"16,151.32",0.5,6
E06000039,Slough,"17,854.57",0.6,7
E06000040,Windsor and Maidenhead,"8,547.42",0,1
E06000041,Wokingham,"6,139.71",0,1
E06000042,Milton Keynes,"15,626.59",0.4,5
E06000043,Brighton and Hove,"14,074.03",0.3,4
E06000044,Portsmouth,"19,910.72",0.7,8
E06000045,Southampton,"19,391.77",0.7,8
E06000046,Isle of Wight,"20,902.84",0.8,9
E06000047,County Durham,"18,898.19",0.6,7
E06000049,Cheshire East,"11,424.87",0.1,2
E06000050,Cheshire West and Chester,"13,573.54",0.3,4
E06000051,Shropshire,"15,168.47",0.4,5
E06000052,Cornwall,"16,629.06",0.5,6
E06000053,Isles of Scilly,"10,656.00",0.1,2
E06000054,Wiltshire,"14,285.74",0.3,4
E06000055,Bedford,"15,738.36",0.4,5
E06000056,Central Bedfordshire,"15,077.26",0.4,5
E06000057,Northumberland,"16,673.14",0.5,6
E06000058,"Bournemouth, Christchurch and Poole","15,924.24",0.4,5
E06000059,Dorset,"16,143.12",0.5,6
E07000004,Aylesbury Vale,"12,601.14",0.2,3
E07000005,Chiltern,"5,814.83",0,1
E07000006,South Bucks,"8,547.18",0,1
E07000007,Wycombe,"12,115.09",0.2,3
E07000008,Cambridge,"9,436.32",0.1,2
E07000009,East Cambridgeshire,"14,674.38",0.3,4
E07000010,Fenland,"25,450.70",0.9,10
E07000011,Huntingdonshire,"15,456.88",0.4,5
E07000012,South Cambridgeshire,"6,885.95",0,1
E07000026,Allerdale,"19,228.81",0.7,8
E07000027,Barrow-in-Furness,"19,222.86",0.7,8
E07000028,Carlisle,"19,824.21",0.7,8
E07000029,Copeland,"20,469.28",0.7,8
E07000030,Eden,"17,011.81",0.5,6
E07000031,South Lakeland,"11,529.46",0.2,3
E07000032,Amber Valley,"18,857.41",0.6,7
E07000033,Bolsover,"24,185.60",0.9,10
E07000034,Chesterfield,"18,873.20",0.6,7
E07000035,Derbyshire Dales,"11,376.70",0.1,2
E07000036,Erewash,"19,432.47",0.7,8
E07000037,High Peak,"14,085.27",0.3,4
E07000038,North East Derbyshire,"17,693.63",0.5,6
E07000039,South Derbyshire,"16,547.97",0.5,6
E07000040,East Devon,"13,562.64",0.3,4
E07000041,Exeter,"14,725.57",0.3,4
E07000042,Mid Devon,"16,510.16",0.5,6
E07000043,North Devon,"17,612.65",0.5,6
