Local Authority District code (2019),Local Authority District name (2019),Employment - Average rank ,,Decile
E06000001,Hartlepool,24902.51,0.9,10
E06000002,Middlesbrough,25231.38,0.9,10
E06000003,Redcar and Cleveland,23809.65,0.9,10
E06000004,Stockton-on-Tees,20104.05,0.7,8
E06000005,Darlington,20134.54,0.7,8
E06000006,Halton,23010.08,0.9,10
E06000007,Warrington,16016.94,0.5,6
E06000008,Blackburn with Darwen,23750.74,0.9,10
E06000009,Blackpool,26469.69,0.9,10
E06000010,"Kingston upon Hull, City of",23632.40,0.9,10
E06000011,East Riding of Yorkshire,14008.23,0.4,5
E06000012,North East Lincolnshire,21132.26,0.8,9
E06000013,North Lincolnshire,19190.90,0.7,8
E06000014,York,9279.58,0.1,2
E06000015,Derby,19201.98,0.7,8
E06000016,Leicester,20136.30,0.7,8
E06000017,Rutland,7770.15,0,1
E06000018,Nottingham,21060.03,0.8,9
E06000019,"Herefordshire, County of",14542.37,0.4,5
E06000020,Telford and Wrekin,19582.68,0.7,8
E06000021,Stoke-on-Trent,23748.23,0.9,10
E06000022,Bath and North East Somerset,10676.10,0.2,3
E06000023,"Bristol, City of",16513.24,0.5,6
E06000024,North Somerset,14344.49,0.4,5
E06000025,South Gloucestershire,10587.39,0.2,3
E06000026,Plymouth,20866.95,0.8,9
E06000027,Torbay,23868.29,0.9,10
E06000030,Swindon,13535.04,0.3,4
E06000031,Peterborough,19453.78,0.7,8
E06000032,Luton,18223.81,0.6,7
E06000033,Southend-on-Sea,18477.73,0.7,8
E06000034,Thurrock,16034.71,0.5,6
E06000035,Medway,18225.00,0.6,7
E06000036,Bracknell Forest,8504.39,0.1,2
E06000037,West Berkshire,8488.67,0.1,2
E06000038,Reading,13188.07,0.3,4
E06000039,Slough,15169.95,0.4,5
E06000040,Windsor and Maidenhead,6772.66,0,1
E06000041,Wokingham,4714.70,0,1
E06000042,Milton Keynes,13342.08,0.3,4
E06000043,Brighton and Hove,15857.35,0.5,6
E06000044,Portsmouth,15756.09,0.5,6
E06000045,Southampton,15933.71,0.5,6
E06000046,Isle of Wight,21796.66,0.8,9
E06000047,County Durham,22311.99,0.8,9
E06000049,Cheshire East,12560.85,0.3,4
E06000050,Cheshire West and Chester,15677.96,0.5,6
E06000051,Shropshire,14280.63,0.4,5
E06000052,Cornwall,19392.60,0.7,8
E06000053,Isles of Scilly,523.00,0,1
E06000054,Wiltshire,11283.51,0.2,3
E06000055,Bedford,15685.81,0.5,6
E06000056,Central Bedfordshire,9836.47,0.1,2
E06000057,Northumberland,18691.73,0.7,8
E06000058,"Bournemouth, Christchurch and Poole",16279.33,0.5,6
E06000059,Dorset,14178.38,0.4,5
E07000004,Aylesbury Vale,8502.14,0.1,2
E07000005,Chiltern,7068.02,0,1
E07000006,South Bucks,6437.82,0,1
E07000007,Wycombe,10128.71,0.1,2
E07000008,Cambridge,9335.99,0.1,2
E07000009,East Cambridgeshire,9236.50,0.1,2
E07000010,Fenland,20755.74,0.8,9
E07000011,Huntingdonshire,10750.10,0.2,3
E07000012,South Cambridgeshire,6976.23,0,1
E07000026,Allerdale,18187.06,0.6,7
E07000027,Barrow-in-Furness,22245.65,0.8,9
E07000028,Carlisle,18411.29,0.7,8
E07000029,Copeland,20555.57,0.8,9
E07000030,Eden,10420.05,0.2,3
E07000031,South Lakeland,10609.30,0.2,3
E07000032,Amber Valley,16693.65,0.5,6
E07000033,Bolsover,22836.77,0.9,10
E07000034,Chesterfield,22159.93,0.8,9
E07000035,Derbyshire Dales,10410.75,0.2,3
E07000036,Erewash,17103.98,0.6,7
E07000037,High Peak,15580.11,0.5,6
E07000038,North East Derbyshire,17967.42,0.6,7
E07000039,South Derbyshire,12041.16,0.3,4
E07000040,East Devon,13328.23,0.3,4
E07000041,Exeter,13611.07,0.3,4
E07000042,Mid Devon,13841.17,0.4,5
E07000043,North Devon,16094.94,0.5,6
E07000044,South Hams,13611.68,0.3,4
E07000045,Teignbridge,15457.47,0.4,5
E07000046,Torridge,18810.71,0.7,8
E07000047,West Devon,16135.99,0.5,6
E07000061,Eastbourne,20642.90,0.8,9
E07000062,Hastings,24182.96,0.9,10
E07000063,Lewes,15240.23,0.4,5
